76,621,696,732
77,622,697,732
75,624,697,732
74,624,698,733
75,624,696,733
75,623,697,734
74,623,697,733
74,621,698,733
76,622,701,733
75,622,698,732
76,621,698,734
75,622,696,727
76,622,696,733
75,622,698,733
75,622,697,733
75,623,697,734
84,621,696,734
75,621,693,733
75,622,694,730
82,621,695,733
75,621,695,732
75,620,694,732
75,621,695,733
74,621,697,732
74,621,696,731
82,621,697,733
74,621,694,733
74,620,695,732
74,620,695,732
74,619,695,732
73,619,695,732
74,620,696,733
73,620,695,732
74,619,696,732
75,618,693,732
73,619,695,733
73,616,696,733
73,619,696,733
73,619,696,732
58,619,693,732
72,620,697,730
77,619,697,730
74,619,697,730
75,619,698,730
76,619,696,730
76,619,696,731
75,618,698,730
75,619,697,729
75,617,698,729
75,618,697,730
75,620,698,730
75,619,699,731
75,617,694,730
76,616,696,729
76,617,696,729
76,617,697,729
76,619,697,730
77,619,697,731
76,618,697,731
76,620,696,731
76,619,695,730
76,618,696,729
77,620,697,729
77,620,696,730
79,617,697,730
76,617,697,731
76,617,696,731
76,616,696,731
76,617,696,732
77,616,696,731
77,616,694,731
77,617,696,730
76,617,696,729
77,615,698,731
76,617,697,730
82,617,697,730
76,617,694,730
77,617,696,729
77,617,697,730
77,617,697,730
77,617,698,729
77,616,695,727
78,616,697,730
77,617,695,730
77,617,697,729
76,619,696,729
77,617,696,729
76,618,696,730
76,618,696,729
76,617,695,728
76,619,696,721
76,619,696,727
76,617,694,727
75,617,695,721
76,618,696,728
75,617,696,728
76,618,696,729
75,618,697,727
76,618,697,727
77,619,696,728
77,617,696,728
79,618,697,727
76,618,696,728
77,618,693,729
77,618,696,729
77,618,697,728
77,617,696,728
77,616,696,729
78,617,696,728
77,618,698,729
78,619,697,728
77,619,696,724
76,619,696,728
77,619,695,729
84,619,695,728
77,619,696,728
78,618,696,727
77,620,695,729
77,617,695,728
77,617,695,729
89,618,696,723
77,618,696,728
77,618,694,728
77,619,692,726
77,619,695,727
86,620,695,728
82,620,695,727
77,618,693,727
77,619,695,727
79,618,695,728
77,617,693,728
77,617,688,728
77,618,694,727
77,619,695,728
77,618,694,728
77,616,694,729
77,617,695,729
77,617,696,728
80,619,695,728
77,617,693,729
80,617,693,729
78,618,695,729
77,617,695,729
77,617,694,728
77,617,693,729
